,Published At,Number of Videos,Wikipedia Pageviews
0,2024-11-01,0.6200177147918512,0.16534869918028686
1,2024-11-02,0.2657218777679362,0.17886862552372815
2,2024-11-03,0.7971656333038087,0.17697583583564636
3,2024-11-04,0.354295837023915,0.21645402075849493
4,2024-11-05,0.08857395925597875,0.23916749701547624
5,2024-11-06,0.5314437555358724,0.4088425726256643
6,2024-11-07,0.70859167404783,0.6384109219372973
7,2024-11-08,0.5314437555358724,0.47995738519216546
8,2024-11-09,0.44286979627989376,0.3531404760906862
9,2024-11-10,0.354295837023915,0.3621988267407919
10,2024-11-11,0.5314437555358724,0.3799099302507
11,2024-11-12,0.70859167404783,0.49969647765358977
12,2024-11-13,0.70859167404783,0.8121419754505177
13,2024-11-14,1.0628875110717448,1.8746729867815681
14,2024-11-15,0.70859167404783,0.4557567170374056
15,2024-11-16,0.70859167404783,0.33732216226885997
16,2024-11-17,0.44286979627989376,0.38383070889029797
17,2024-11-18,0.2657218777679362,0.337998158586032
18,2024-11-19,0.5314437555358724,0.35070688934886685
19,2024-11-20,0.354295837023915,0.3171774720171325
20,2024-11-21,1.328609388839681,0.3112287044260183
21,2024-11-22,0.354295837023915,0.34665091144583443
22,2024-11-23,0.7971656333038087,0.2548506115738681
23,2024-11-24,0.5314437555358724,0.2847296487928734
24,2024-11-25,0.5314437555358724,0.29135441270115964
25,2024-11-26,0.354295837023915,0.28432405100257013
26,2024-11-27,0.354295837023915,0.27688809151367744
27,2024-11-28,0.44286979627989376,0.26444975927771147
28,2024-11-29,0.44286979627989376,0.28270165984135714
29,2024-11-30,0.1771479185119575,0.21591322370475724
30,2024-12-01,0.08857395925597875,0.219428404554052
31,2024-12-02,0.2657218777679362,0.2502538366170981
32,2024-12-03,0.2657218777679362,0.3079839221035924
33,2024-12-04,0.2657218777679362,0.2509298329342702
34,2024-12-05,0.44286979627989376,0.2438994712356807
35,2024-12-06,0.08857395925597875,0.22402517951082201
36,2024-12-07,0.2657218777679362,0.34029654606441706
37,2024-12-08,0.1771479185119575,0.27999767457266894
38,2024-12-09,0.2657218777679362,0.2706689253956944
39,2024-12-10,0.70859167404783,0.26052898063811347
40,2024-12-11,0.5314437555358724,0.29176001049146283
41,2024-12-12,0.5314437555358724,0.28148486647044746
42,2024-12-13,0.08857395925597875,0.22470117582799407
43,2024-12-14,0.1771479185119575,0.20361009073222566
44,2024-12-15,0.44286979627989376,0.2547154123104337
45,2024-12-16,0.1771479185119575,0.4268240746624412
46,2024-12-17,0.1771479185119575,0.40613858735697606
47,2024-12-18,0.44286979627989376,0.36882359064907816
48,2024-12-19,0.70859167404783,0.32866940940905753
49,2024-12-20,0.6200177147918512,0.5320091016144144
50,2024-12-21,0.5314437555358724,0.7737453846351444
51,2024-12-22,0.2657218777679362,0.7066865499716758
52,2024-12-23,0.7971656333038087,0.5452586294309869
53,2024-12-24,0.2657218777679362,0.4249312849743595
54,2024-12-25,0.6200177147918512,0.38883308163737124
55,2024-12-26,0.354295837023915,0.3607116348430134
56,2024-12-27,0.08857395925597875,0.3788283361432247
57,2024-12-28,0.1771479185119575,0.40032501902929635
58,2024-12-29,0.354295837023915,0.46927664338084685
59,2024-12-30,0.2657218777679362,0.36787719580503725
60,2024-12-31,0.5314437555358724,0.3473269077630065
61,2025-01-01,0.5314437555358724,0.36922918843938135
62,2025-01-02,0.44286979627989376,0.3548980665153336
63,2025-01-03,0.5314437555358724,0.39072587132545306
64,2025-01-04,0.5314437555358724,0.37855793761635587
65,2025-01-05,0.70859167404783,0.4435887833283084
66,2025-01-06,0.7971656333038087,0.5914967775255561
67,2025-01-07,0.5314437555358724,0.5376874706786597
68,2025-01-08,1.328609388839681,0.5616177403065508
69,2025-01-09,0.70859167404783,0.7045233617567251
70,2025-01-10,1.2400354295837024,0.7888877021397989
71,2025-01-11,1.6829052258635961,1.074563745776713
72,2025-01-12,2.2143489813994686,1.2807426225141927
73,2025-01-13,1.771479185119575,0.9996633538340483
74,2025-01-14,1.5057573073516386,0.8547297434323577
75,2025-01-15,1.328609388839681,0.7884821043494954
76,2025-01-16,0.8857395925597875,0.7818573404412092
77,2025-01-17,1.41718334809566,0.685460265612473
78,2025-01-18,1.1514614703277237,0.608531884718292
79,2025-01-19,1.771479185119575,0.6047463053421285
80,2025-01-20,1.2400354295837024,0.7085793396597575
81,2025-01-21,0.9743135518157661,0.7594142627110967
82,2025-01-22,0.7971656333038087,0.7941604734137409
83,2025-01-23,1.5943312666076175,0.9747866893621164
84,2025-01-24,0.9743135518157661,0.8595969169159966
85,2025-01-25,1.328609388839681,0.7856429198173729
86,2025-01-26,1.41718334809566,1.0318407785314387
87,2025-01-27,2.3914968999114263,1.0999812073023827
88,2025-01-28,2.3914968999114263,1.0340039667463892
89,2025-01-29,2.83436669619132,1.3718669260689869
90,2025-01-30,2.568644818423383,1.7604296091794893
91,2025-01-31,2.9229406554472983,1.787875059656675
92,2025-02-01,0.44286979627989376,1.3442862763283665
93,2025-02-02,0.6200177147918512,1.4531216833930687
94,2025-02-03,1.2400354295837024,1.4433873364257912
95,2025-02-04,0.8857395925597875,1.2278797105113373
96,2025-02-05,0.6200177147918512,1.0537430592078134
97,2025-02-06,1.41718334809566,1.2220661421836574
98,2025-02-07,1.328609388839681,1.025080815359718
99,2025-02-08,1.1514614703277237,0.9572107851156426
100,2025-02-09,1.1514614703277237,1.1819119609436368
101,2025-02-10,0.5314437555358724,1.231124492833763
102,2025-02-11,1.0628875110717448,1.2588403418378178
103,2025-02-12,0.8857395925597875,1.2130077915335518
104,2025-02-13,1.328609388839681,1.414184295523958
