Published At,Number of Videos,Wikipedia Pageviews
2024-11-01,0.6200177147918512,0.16534869918028686
2024-11-02,0.2657218777679362,0.17886862552372815
2024-11-03,0.7971656333038087,0.17697583583564636
2024-11-04,0.354295837023915,0.21645402075849493
2024-11-05,0.08857395925597875,0.23916749701547624
2024-11-06,0.5314437555358724,0.4088425726256643
2024-11-07,0.70859167404783,0.6384109219372973
2024-11-08,0.5314437555358724,0.47995738519216546
2024-11-09,0.44286979627989376,0.3531404760906862
2024-11-10,0.354295837023915,0.3621988267407919
2024-11-11,0.5314437555358724,0.3799099302507
2024-11-12,0.70859167404783,0.49969647765358977
2024-11-13,0.70859167404783,0.8121419754505177
2024-11-14,1.0628875110717448,1.8746729867815681
2024-11-15,0.70859167404783,0.4557567170374056
2024-11-16,0.70859167404783,0.33732216226885997
2024-11-17,0.44286979627989376,0.38383070889029797
2024-11-18,0.2657218777679362,0.337998158586032
2024-11-19,0.5314437555358724,0.35070688934886685
2024-11-20,0.354295837023915,0.3171774720171325
2024-11-21,1.328609388839681,0.3112287044260183
2024-11-22,0.354295837023915,0.34665091144583443
2024-11-23,0.7971656333038087,0.2548506115738681
2024-11-24,0.5314437555358724,0.2847296487928734
2024-11-25,0.5314437555358724,0.29135441270115964
2024-11-26,0.354295837023915,0.28432405100257013
2024-11-27,0.354295837023915,0.27688809151367744
2024-11-28,0.44286979627989376,0.26444975927771147
2024-11-29,0.44286979627989376,0.28270165984135714
2024-11-30,0.1771479185119575,0.21591322370475724
2024-12-01,0.08857395925597875,0.219428404554052
2024-12-02,0.2657218777679362,0.2502538366170981
2024-12-03,0.2657218777679362,0.3079839221035924
2024-12-04,0.2657218777679362,0.2509298329342702
2024-12-05,0.44286979627989376,0.2438994712356807
2024-12-06,0.08857395925597875,0.22402517951082201
2024-12-07,0.2657218777679362,0.34029654606441706
2024-12-08,0.1771479185119575,0.27999767457266894
2024-12-09,0.2657218777679362,0.2706689253956944
2024-12-10,0.70859167404783,0.26052898063811347
2024-12-11,0.5314437555358724,0.29176001049146283
2024-12-12,0.5314437555358724,0.28148486647044746
2024-12-13,0.08857395925597875,0.22470117582799407
2024-12-14,0.1771479185119575,0.20361009073222566
2024-12-15,0.44286979627989376,0.2547154123104337
2024-12-16,0.1771479185119575,0.4268240746624412
2024-12-17,0.1771479185119575,0.40613858735697606
2024-12-18,0.44286979627989376,0.36882359064907816
2024-12-19,0.70859167404783,0.32866940940905753
2024-12-20,0.6200177147918512,0.5320091016144144
2024-12-21,0.5314437555358724,0.7737453846351444
2024-12-22,0.2657218777679362,0.7066865499716758
