Video ID,Title,Channel,Published At
fYLRUOsHnlc,Philip Hopf AFD Statement! #hossundhopf #hopf #philiphopf #deutschland #afd #deutsch #weidel,HossHopfBericht,2025-01-23T18:04:46Z
jYmVJZWAFAM,Bundestagswahl: Michel Friedman fordert: &quot;Streitet mit der AfD&quot;,DIE ZEIT ,2025-02-23T21:26:52Z
xkY3SMwGmkw,Die AfD steht für eine Ellenbogengesellschaft#bsw #wagenknecht #maischberger #weidel #afd #musk,Sahra Wagenknecht,2025-01-23T12:15:48Z
gynXfjrAOMs,Wir unterstützen das Zustrombegrenzungsgesetz. Debatte der Grünen und SPD nutzt nur AfD.#bsw #welt,Sahra Wagenknecht,2025-01-31T11:01:28Z
_O3zf8RDq40,Der Afd Talk war ein kompletter Reinfall,Power TJ,2025-01-13T13:00:51Z
4DqH17qF0dg,Neuwahlen in Deutschland: Merz schließt Zusammenarbeit mit AfD kategorisch aus,Tagesspiegel,2024-11-13T16:10:33Z
RVFfrVP4R2E,Was denken Israelis über die AfD? Eine überraschende Perspektive @WELTVideoTV,DACH Medien,2025-02-18T19:00:28Z
Q4qO66UeaXs,Unternehmer zerlegt Weidel #noafd,No AfD,2025-02-13T23:42:37Z
U0iS_-mpw8M,KANZLER DANK DER AFD?: Merz stellt klar: „Wir werden mit denen nicht zusammenarbeiten!“,WELT Nachrichtensender,2025-02-20T20:15:01Z
whBxahDF-pM,BEST OF AFD (ARSCHKARTE FÜR DOOFE) | KALKOFES MATTSCHEIBE | KalkTV,KalkTV,2025-02-20T17:01:09Z
Pd3LE-0n1vw,UNGLAUBLICHE  Entdeckung IN AfD Flyer  gemacht 😂 Kann das noh ZUFALL sein  ? #shorts #afd,EPISCH & STABIL TV | CAMP414,2025-02-10T20:53:59Z
8qE8TkrTCCQ,Ist die AfD eine legitime Alternative? - Bevor du wählst...,SPACE FROGS,2025-02-15T10:00:11Z
Pseu_imA4M0,Anti-AfD Song im ÖRR #afd #örr #wahlkampf,konservativ und frei,2025-02-11T10:28:19Z
uQqLCBtGcTM,FDP-Vize Kubicki findet AfD-Diskussion &quot;merkwürdig&quot; | #ntv,ntv Nachrichten,2025-01-28T11:37:47Z
9QHA2yMmIH8,"Die Grünen tun, was sie der AfD vorwerfen (Prof. Dr. Rieck)",{ungeskriptet} by Ben,2025-02-26T17:00:08Z
m8VF0tH6OD8,Von der SPD zur AfD: »Hier muss richtig aufgeräumt werden« | SPIEGEL TV Shorts,DER SPIEGEL,2025-02-27T07:00:35Z
RUgxdQwqfaE,"Christoph Sieber / AfD Verbot, warum denn eigentlich? / Mitternachtsspitzen",Kleine Affäre,2024-12-14T15:24:01Z
PlyN5l61wZ0,Markus Lanz - Der AFD Wahlsieg wurde hervorgesagt - Gerald Knaus 30.01.2025,Alienjäger02,2025-02-01T19:30:04Z
w5G_44icuFI,Reform Bundesverfassungsgericht - &quot;Versuch die AfD von Richterwahl abzuhalten&quot; @WELTVideoTV,DACH Medien,2024-12-21T08:00:49Z
kS75T40054w,Gewalt hat keinen Platz in der Politik - AfD-Antrag zur Gewalt an Politikern @rtlwest,DACH Medien,2025-02-08T08:00:41Z
tju9hKwE-u8,Die AfD hat den Bundestag verändert.,{ungeskriptet} by Ben,2025-01-25T19:07:12Z
6EiieX6D3Qo,"Wahlsieger CDU, heimliche Gewinner AfD? @newstime.digital",DACH Medien,2025-02-23T23:30:02Z
y7IZCwW-ZmE,»Dann haben wir die absolute Mehrheit«: AfD-Mann Krah im Wahlkampf | SPIEGEL TV Shorts,DER SPIEGEL,2025-02-20T13:01:33Z
qfk82nuiruE,Rassismus vs. Alltagsrassismus #rassismus #afd #btw25,MDR Aktuell,2025-02-27T19:00:40Z
1ay-R6wUhJA,Göç karşıtı AfD&#39;yi destekleyen Türkler,DW Türkçe,2025-02-22T04:00:01Z
4GOXkPhhpZQ,❌DA MUSS SOGAR FRAU WEIDEL LACHEN ❌ #aliceweidel #politik #afd #bundestag #chrupalla #spd #cdu #merz,Rich Kids of Wall Street ,2025-02-22T21:21:07Z
JFt9HGPC-6A,Por qué la ultraderechista AfD no formará parte del gobierno pese a ser segunda fuerza política,DW Español,2025-02-24T00:56:05Z
SKFrOAyb-DU,De blik van extreemrechtse partij AfD op migratie,VPRO Tegenlicht,2025-01-23T09:58:18Z
PhFpI0sqY3Q,Alice Weidel gegen Antifa #afd #politics #aliceweidel #edit,AfD Edits,2025-01-26T11:25:06Z
b6s8SqegLhE,Politiker lernen arabisch #bundestag #politik #nachrichten #neuwahlen #afd,Finanzfuchs,2025-02-14T05:00:39Z
J5z2N9XA3w4,Alle gegen die AFD!#afd#bär#talkshow#ampel#cdu#politik#hartaberfair#deutsch#nachrichten#aktuell#spd,Iris Aschenbrenner,2024-12-05T09:42:20Z
1KB5R3otoSI,AfD leader delivers emotional speech at Magdeburg rally after Christmas market attack,CGTN Europe,2024-12-25T10:55:00Z
JLPPWvzGEdk,AfD stärkste Partei am 23.2? 🤔,Marc Friedrich,2025-02-06T10:21:24Z
XZ5_6aG350A,Alibi Politik #fypシ #afd #cdu #islam #deutsch #deutschland #politik #lustig #religion #ampel #koran,BlueTiger,2024-12-31T00:19:38Z
PC9uZTjQ1Rk,Germany&#39;s far-right AfD co-leader Alice Weidel vows to &#39;close borders completely&#39; | AFP,AFP News Agency,2025-01-11T18:55:01Z
0gCEumEKo84,KI-Videos kann die #AfD nicht?! 🤔 #Politik #Wahlen #Bundestagswahl #KI #KIVideo #Video #KITools,KI-Campus,2025-02-18T09:00:01Z
N7ttxZK_sZI,So steht die AfD zu Israel! #afd #ltnrw,AfD-Fraktion NRW,2024-11-12T18:00:15Z
i7SFJhb5Pts,Wahlprogramm der AfD!,Finanzdenker,2024-12-23T19:15:00Z
Yh5-cpBBMIM,Markus Lanz: „Dumme grüne Politik“? Jörg Urban (AfD): Das war alles die CDU!,AfD-Fraktion im Sächsischen Landtag,2025-01-15T13:30:30Z
_cg0AkCmn_M,AfD-Welle und Linke-Wunder: Ost-Deutschland nach der Wahl | Doku,MDR Investigativ,2025-02-28T14:33:20Z
kEomKwnljVQ,Weidel kommt ins Schwimmen 🏊 #afd,Volksverpetzer,2025-01-23T18:09:41Z
S2CeelGLttU,Alice Reise ins Kanzleramt? feat. @DieDaOben  #funk #bioagraphie #politik #aliceweidel #afd,Der Biograph,2025-02-06T15:37:35Z
7PC9PWNVHiM,Was macht und will die AfD eigentlich auf TikTok? | ARD Story: Die TikTok-Armee der AfD | NEUE DOKU,ARD,2025-02-13T13:30:05Z
PRsF-yy6RGc,Friedrich #Merz und Alice #Weidel im Schlagabtausch zum Krieg in der #Ukraine #quadrell #shorts,RTL News,2025-02-16T22:05:08Z
dUaWp-7Nf0k,Büyük tehlike: &quot;AfD&#39;ye oy vereceğim&quot; diyenler iyi dinlesin!,Oktan Erdikmen,2025-01-14T09:02:37Z
IMhNn8dn-qc,Alice Weidel knöpft sich die Grünen vor! 😂 - AfD-Fraktion im Bundestag,AfD-Fraktion Bundestag,2025-02-11T10:15:06Z
hEqzZIzli5c,Elon Musk &amp; die AfD zwischen Einfluss und Spaltung. #podcast #viralvideo #realtalk #elonmusk #afd,PULS 030,2025-01-13T18:23:36Z
bZx6L5fTOWk,AfD-Mann fordert: Drogendealer raus aus den Parks,AfD Rheinland-Pfalz,2025-02-17T09:45:02Z
s9Yi6elMaHQ,Wie stehen BSW und AfD zur Ukraine? | Markus Lanz vom 14. Januar 2025,ZDFheute Nachrichten,2025-01-15T09:01:12Z
aoHLKefp__I,"🇩🇪 #Gelsenkirchen was lang links, maar nu kan de radicaal-rechtse #AfD daar de grootste worden",EenVandaag,2025-02-22T08:01:00Z
tpOrRNuyj64,Tino Chrupalla genialer Konter gegen ÖRR-Schranze #afd #shorts,Red Scorpion,2025-02-27T06:40:56Z
QdDeRWoxukU,AFD oder GRÜNE | Quick and Dirty 2024 Recap #afd #grüne #wahlkampf,MC BOGY & B-LASH,2025-01-21T16:21:09Z
dpfpo8Y91IQ,Lanz | #chrupalla (AfD) definiert Remigration #deutschland #politik #markuslanz #afd #remigration,Political Entertainment,2025-02-06T16:27:23Z
yDHtV_gBN5E,CZYM JEST AFD?!,Super Ring,2025-02-04T16:00:54Z
b-SRWBu9G-g,Dit is AfD-leider Alice Weidel,RTL Nieuws,2025-02-23T20:45:05Z
PFvt6GGVT9c,FDP-Chef Christian Lindner im Interview. #FDP #AfD #Bundestagswahlen #Proteste #Brandmauer,The Pioneer,2025-02-05T12:58:53Z
YqxttDhsDuk,"AfD-Wahl: Mehr Links durch politische Taktik?Antje Hermenau,ex-Grüne spricht Klartext!",NoAntifant,2025-01-19T16:54:21Z
G7PFtUeQolQ,Martin #Hess rechnet mit linksrotgrünem #Hetzer ab. #Remigration #Correctiv #AfD #News #Politik #SPD,Martin Hess,2024-12-12T17:02:23Z
fTIYf6MfBv0,Bambule! Randale! Rechtsradikale! – Der AfD-Parteitag in Riesa | SPIEGEL TV,DER SPIEGEL,2025-01-14T07:00:32Z
kUECCWoB4l4,"Gleichberechtigung, Demokratie, Wirtschaft: Tino Chrupalla (AfD) gegen alle I Hart aber fair 360",tagesschau,2025-02-15T20:04:29Z
PW_kSd3wLK0,Omid Najafi für die Afd! #fypシ #afd #cdu #islam #deutsch #deutschland #politik #lustig #religion,BlueTiger,2025-01-18T08:41:43Z
Up__mS0suUo,Germany&#39;s AfD Manifesto Explained,TLDR News EU,2025-01-17T09:45:01Z
VX9Rn-XbPfo,Gelöschte Lanz Szene #bundestag #politik #bundestagswahl2025 #afd #cdu #news,Finanzfuchs,2025-02-07T19:00:21Z
ub-ixFmHDnM,Welt-Chef Burgard: Warum Elon Musk auf die AfD setzt – und warum er dabei irrt&quot; 🤔,HKCM,2025-01-06T23:40:38Z
XoBnxE5cYLg,#dieternuhr #nuhr #SPD und #Grüne brauchen die #AfD #Zustrombegrenzungsgesetz #Merz #Brandmauer,Berlin360°,2025-01-31T11:45:11Z
W4TPyV3SxSk,❌PUTIN BRICHT SEIN SCHWEIGEN😲❌ #putin #politik #afd #chrupalla #spd #bundestag #merz #cdu #scholz,Rich Kids of Wall Street ,2025-02-17T13:15:43Z
rWE1FfsDjBQ,❌TV SKANDAL BEI WEIDEL ❌ #afd #politik #spd #chrupalla #merz #bundestag #scholz #aliceweidel,Rich Kids of Wall Street ,2025-02-03T22:55:25Z
T5dYKGgCVqU,„Die „Demos gegen Rechts“ sind eine bodenlose Frechheit!“ | Gabrielle Mailbeck (AfD),Deutschland Kurier,2025-02-20T17:40:54Z
phN72Z7y3o4,Dit is de Duitse AfD-partij,RTL Nieuws,2025-02-13T15:01:09Z
cpd05pqP574,Why Max (21) votes for the far-right AfD,ENTR en,2025-02-28T09:56:18Z
I16eBXbAhrA,Dieter Nuhr bei Maischberger - AFD und Rechtsextremismus,Alienjäger02,2025-02-24T17:49:09Z
Id4-GDFxB3M,AfD 2025: Einschlägige Änderungen im Immo-Bereich‼️#bundestagswahl2025 #immobilien #afd #politik,Vermögensaufbau mit Immobilien,2025-02-17T12:15:45Z
eYctuPJUBgI,Warum ist die AfD so erfolgreich?,Geld für die Welt — Maurice Höfgen,2025-02-28T15:01:02Z
5GdAkfYBN2k,Junge AfD-Mutter zerlegt grüne Feministen! – Enxhi Seli-Zacharias (AfD),AfD-Fraktion NRW,2025-02-10T11:00:10Z
JhPLeCwix7o,#einigkeit und #recht und #freiheit - unser #afd #parteitag in #riesa ist beendet,"Stephan Brandner, MdB",2025-01-12T17:16:23Z
fIobmghBG4g,Almanya’da yaşayan Türkler AfD’yi neden destekliyor? ​⁠@benyuxel,Ben Yüksel,2025-01-16T09:28:19Z
6HEceDrlcQs,"&quot;Wir arbeiten nicht mit der AfD zusammen&quot;, CDU-Generalsekretär | #ntv",ntv Nachrichten,2025-01-27T12:57:25Z
DJZB5D6iPgc,❌ALICE WEIDEL REDET KLARTEXT ❌ #aliceweidel #afd #politik #bundestag #cdu #chrupalla #spd #merz,Rich Kids of Wall Street ,2025-02-28T18:28:04Z
wqDCcirQPiw,Alemania mantendrá su cordón sanitario contra la extrema derecha de la AfD,El Mundo,2025-02-17T12:54:58Z
dHqgDER2DtQ,Musk Addresses Germany’s Afd Campaign Launch | Subscribe to FirstPost | N18G,Firstpost,2025-01-26T15:16:30Z
uaXitMYXhpg,"Weißt Du noch, wie schön Deutschland einmal war? - Alice Weidel #afd #weidel #deutschland",AfD TV,2025-01-05T16:28:53Z
IVR5amXDtuU,Gefährden die Eliten die Demokratie? @ServusTV #donaldtrump #afd,DACH Medien,2024-11-16T11:00:29Z
