title,views,likes,comments,upload time
"""Fridays for Future"": 6.000 Teilnehmer*innen bei Klima-Demo in Münster",570,15,0,2019-05-24T20:24:54Z
"Ein Jahr ""Fridays for Future"" - was hat sich geändert?",548,8,1,2019-11-22T10:06:43Z
Fridays for future: Balinger demonstrieren mittags,505,11,1,2019-05-24T15:52:55Z
Fridays for Future: Kölner Organisator Jan Tecklenburg im Interview,498,0,1,2019-11-30T07:09:26Z
Aufruf zum weltweiten Streik 24.5 von Fridays for Future,485,23,4,2019-05-22T13:08:15Z
Fridays for Future - Aufruf zum Globalen Klimastreik | Josephine Hübner | 85. Netzpolitischer Abend,402,4,3,2019-10-25T13:20:57Z
Weltweit koordinierte Klimaprosteste von Fridays for Future,396,15,11,2019-11-29T22:20:10Z
Fridays for Future: 100 Demonstranten in Cloppenburg,385,6,1,2019-11-29T17:14:08Z
Fridays for Future - erneut Schülerstreiks in 120 Ländern,384,16,9,2019-05-26T21:45:05Z
"""Fridays for Future"" Kundgebung vor Mainzer Rathaus",361,9,1,2019-08-28T15:44:50Z
Greta Thunberg - Die Kämpferin | ZDF Auslandsjournal 27.09.19 | fridays for future,335,6,0,2019-09-28T12:48:52Z
Jana macht Werbung für den 24.5 und 21.6 Fridays for Future Köln und Aachen,304,7,0,2019-05-20T07:14:43Z
Fridays for Future zu Gast bei rockradio.de (14.07.2019),303,9,9,2019-07-15T08:24:21Z
Fridays For Future - offenes Plenum,297,10,1,2019-10-07T14:07:26Z
Aufruf zum internationalen Fridays for Future Streik am 24.5.19,295,15,0,2019-05-22T15:49:42Z
Trotz Schulferien: Fridays for Future-Demo in Dortmund | AFP,248,2,0,2019-08-02T14:36:58Z
Fridays for Future: Vollzeit-Einsatz für Klimaschutz,239,6,0,2019-07-05T16:21:35Z
"""Fridays for Future"" demonstrieren am Stuttgarter Flughafen | AFP",227,3,0,2019-07-26T18:14:31Z
Stoppt Greta und Fridays For Future,202,5,0,2019-08-03T17:54:32Z
Fridays for Future Demonstration am 29. November 2019 in Köln,194,0,0,2019-11-30T08:39:48Z
Black Friday die große Verarsche !! - Fridays for Future,190,5,0,2019-11-30T23:32:34Z
Rede bei Fridays for Future in Berlin am 5.4.2019,185,0,0,2019-10-03T11:00:06Z
Friday for Future Global - 20. September 2019,172,5,1,2019-09-20T18:12:03Z
Levi aus Essen Friday’s for Future Demo gegen RWE 3.5.19,166,6,0,2019-05-05T19:26:48Z
Demozug Friday’s for Future Demo gegen RWE 3.5.19,164,6,0,2019-05-05T08:02:37Z
Rede einer Schülerin Friday’s for Future Demo gegen RWE 3.5.19,155,10,0,2019-05-05T07:53:10Z
Fridays for future & mehr | oeins aktuell | 22.11.2019,138,3,0,2019-12-02T17:00:15Z
RTF.1 Nachrichten: Weihnachtsdemo von Fridays for Future,137,7,2,2019-12-20T16:47:20Z
Internationale Großdemo von Fridays for Future in Aachen | AFP,135,0,0,2019-06-21T13:57:19Z
Internationale Großdemo von Fridays for Future in Aachen | AFP,135,0,0,2019-06-21T13:57:19Z
Horst Förster: Bei Fridays for Future geht es um die Rettung des Planeten - glaubt man.,124,8,0,2019-05-09T13:24:52Z
Fridays For Future-Aktionscamp,114,3,1,2019-10-14T15:41:20Z
Fridays for Future: CO2 Steuer ist guter Anfang,104,6,0,2019-07-13T09:04:10Z
Fridays for Aufklärung - Wie die Geschichte über Fridays for Future urteilen wird,89,0,0,2019-12-13T11:00:01Z
Fridays for Future - 15.03.2019,69,5,0,2019-09-11T16:49:26Z
Geht der Bürgerentscheid baden? Fridays for Future kämpft für Kohle-Aus in München,62,1,1,2019-07-12T16:09:04Z
Fridays for Future - globaler Klimastreik 20.09.2019,45,5,0,2019-09-22T19:08:41Z
"Horst Förster: Fridays for Future: ""Dort wird keine andere Meinung zugelassen!""",44,3,0,2019-05-09T13:19:49Z
Demo gegen Gewerbepark Fils - Nina von Friday For Future,39,2,0,2019-10-15T06:04:53Z
Fridays For Future - 23.07.2019,27,1,0,2019-09-17T09:34:05Z
"Fridays For Future, Stuttgart, 20.09.2019, Band: Actio Grenzänger (1)",17,0,0,2019-09-22T15:21:47Z
