title,views,likes,comments,upload time
Von Fridays for Future bis Anketten im Bundestag | reporter,129891,3197,1455,2019-03-22T15:25:14Z
"""Fridays for Future""-Proteste in mehr als 120 Ländern",94154,4049,0,2019-03-15T16:00:02Z
Fridays for Future - Dürfen Schüler streiken & dafür schwänzen? | Rechtsanwalt Christian Solmecke,72428,3607,1170,2019-02-01T14:37:06Z
Fridays for Future & Art. 13 – Wie demonstriere ich richtig? | Rechtsanwalt Christian Solmecke,53377,3351,503,2019-03-15T17:00:02Z
"Aktuelle Stunde zum Klimastreik ""Fridays for Future"" am 15.03.19",40724,449,0,2019-03-15T16:05:11Z
FRIDAYS FOR FUTURE: Nicht jeder Schulschwänzer hat den Sinn der Demo kapiert,30153,342,0,2019-03-01T12:41:00Z
FRIDAYS FOR FUTURE: Greta Thunberg spricht bei Großdemo von Schülern,23638,315,0,2019-03-29T13:32:49Z
"WELT-DOKUMENT: ""Fridays for Future""-Aktivisten Greta Thunberg spicht bei EU-Konress",22660,381,0,2019-02-21T14:02:51Z
FRIDAYS FOR FUTURE: Greta Thunberg für den Friedensnobelpreis nominiert,17117,283,0,2019-03-14T16:40:41Z
Pressekonferenz der Fridays-For-Future-Bewegung am 08.04.19,13603,372,0,2019-04-08T09:43:17Z
Regierungstagebuch #103 - Bitte mitschreiben! #FridaysForFuture,11076,260,34,2019-02-01T14:22:48Z
Fridays for Future: Streik für das Klima in Wien,11001,117,60,2019-02-01T15:18:14Z
"""Fridays for Future"": Protest von Klimaaktivisten im EU-Parlament in Straßburg",10802,387,141,2019-03-13T14:30:00Z
WELT-DOKUMENT: Fridays for Future - Schule schwänzen und Politikern einheizen,9005,272,0,2019-01-25T12:49:32Z
Versagt Fridays For Future?,8507,321,364,2019-02-17T09:30:03Z
"""Fridays for Future"": Forderungen an die Politik | DER SPIEGEL",8345,172,137,2019-04-09T10:56:30Z
FRIDAYS FOR FUTURE: Kanzlerin Merkel lobt Schülerdemos für den Klimaschutz,8176,142,0,2019-03-03T11:54:26Z
FRIDAYS FOR FUTURE: So geht Schulschwänzen in den Osterferien,7733,119,0,2019-04-12T15:46:41Z
Fridays for Future - Berlin - 15.03.19 - (Musikclip),7614,264,61,2019-03-15T15:16:05Z
So demonstrieren Schüler der Fridays-for-Future-Bewegung in NRW,7461,96,28,2019-03-15T15:42:30Z
Greta Thunberg am Brandenburger Tor: „Fridays for Future“-Demonstration in Berlin,7252,54,0,2019-03-29T10:57:59Z
FRIDAYS FOR FUTURE: Greta Thunberg trifft den Papst in Rom,7204,89,0,2019-04-15T14:31:01Z
