,videoId,publishedAt,viewCount,likeCount,commentCount
79,KUg0UGFjKFU,2021-01-28 16:29:59+00:00,341433,24564,3772
80,wbUTuwNmxdM,2021-02-08 10:00:16+00:00,340078,22879,3172
81,jRE0qb4bG1o,2020-05-14 17:19:38+00:00,339298,14158,1937
82,sKYf74YFL8M,2023-05-11 18:12:54+00:00,338237,24417,5064
83,16QS-8YnSZg,2023-02-24 06:38:59+00:00,337424,37799,11796
84,Bz-XL4YLGeA,2022-06-02 17:03:30+00:00,333657,31217,6493
85,nB_ueqshBRo,2022-02-10 17:22:04+00:00,327903,22240,3162
86,kpyHz_7Q5wE,2021-10-21 16:01:16+00:00,327442,18962,2677
87,3rc4LRur7LA,2023-12-20 13:03:07+00:00,326695,17726,5509
88,dcc_KKkZpS8,2023-03-01 17:14:34+00:00,324861,27877,2335
89,FJvNU6QGmcw,2023-05-27 10:01:18+00:00,321179,23483,780
90,CpAML_2ANqc,2023-02-10 08:00:25+00:00,307899,26375,14176
91,027G5JGJovo,2020-10-29 19:22:02+00:00,306612,18925,3106
92,PMg-s5dsrrs,2021-03-04 16:27:52+00:00,301379,21571,3867
93,epVDA5oJm-4,2021-02-25 20:33:55+00:00,297322,18660,3462
94,4JwTr2xZjXI,2021-09-23 14:00:02+00:00,272337,16893,2303
95,t7_sLtCKULE,2020-05-28 16:06:45+00:00,272148,13613,2008
96,I5Qd6xiU55k,2021-03-25 15:30:01+00:00,271867,20446,4135
97,MrsMs5fM1Rg,2020-01-15 14:42:09+00:00,269529,9837,987
98,JaE6UMk1u6I,2022-01-23 11:27:00+00:00,266196,25302,2399
99,RhKSSpCXvnQ,2020-12-03 16:50:59+00:00,265222,19061,3167
