,count
friday,15
future,14
eu,3
interview,1
hubraum,1
greta,5
thunberg,4
klima,4
aachen,1
proteste,2
protest,2
zukunft,1
sommerkongress,1
weltweite,1
klimaproteste,1
welt,1
demo,1
politik,1
junge,1
klimaschützer,1
