,count
future,15
proteste,1
ländern,1
friday,15
protest,2
streiken,1
schüler,3
streik,3
schwänzen,2
rechtsanwalt,2
demo,4
klimastreik,1
klima,4
thunberg,3
greta,3
aktivisten,2
eu,2
welt,2
bewegung,1
wien,1
klimaaktivisten,1
politik,2
politikern,1
politiker,1
schule,1
forderungen,1
demos,1
klimaschutz,1
