,Unnamed: 0,videoId,author,publishedAt,likeCount,text,period
27,800,SYLsSPSjTX8,@pp1809c,2022-03-03T19:42:18Z,2998,"Und wer als Russe hier lebt sieht sich Anfeindungen ausgesetzt, als ob diejenigen was dafür könnten...",Before Founding
28,159,oRYkODSC-WU,@karin4003,2022-09-08T11:27:27Z,2997,"Eine sehr starke Rede. Vielen Dank, dass Sie den Mut haben die Wahrheit auszusprechen",Before Founding
29,522,5Ms0f7XnsTc,@realtalk6573,2022-05-19T18:41:44Z,2940,"Frau Wagenknecht ist schon heute eine Legende! Was für eine Frau, Politikerin, Anwältin der Demokratie und Denkerin! Nicht das seelenlose Gendern oder die Frauenquote zeigen wie stark oder gleichwertig Frauen sind, sondern solche lebenden Beispiele wie Fr. Dr. Wagenknecht!",Before Founding
30,265,jyltDCy3Kvo,@darwallaceprawda105,2022-09-08T18:14:43Z,2940,Meinen höchsten Respekt!!! Und viel Kraft für die nächsten Tage und ein dickes Fell!!!!!,Before Founding
31,496,rIlUci-PJVA,@Frei_Raum,2021-05-06T16:37:55Z,2929,"Das muss einen sehr nachdenklich machen, wenn die Wirtschaft so auf eine mögliche grüne Kanzlerin abfährt.",Before Founding
32,242,juQMBphcboo,@gehaltssklave2018,2021-08-26T14:11:19Z,2905,Wir haben Sie sehr vermisst in diesen chaotischen Zeiten. Endlich wieder eine Stimme der Vernunft!,Before Founding
33,1180,ZFlyZV1jK2Q,@ladyraccoon5990,2021-01-14T17:40:31Z,2816,"Es ist so eine Schande,wie mit unseren Pflegekräften umgegangen wird.",Before Founding
34,553,58qxTjXnPPE,@michaelmuller8701,2022-05-05T17:23:12Z,2795,Sie sind wirklich die einzige Person die das ausspricht was ich denke. Vielen Dank für Ihren Einsatz. Bitte geben Sie nicht auf. Danke,Before Founding
35,684,dodIQkDgtDA,@FraukeN,2022-07-07T17:32:24Z,2758,"Bewundernswert, dass Sie es schaffen, so ruhig zu bleiben. Mir platzt allein beim Zuhören schon die Hutschnur!",Before Founding
36,724,hvQKE0bGq5U,@GiveHope-tf5cz,2021-11-25T19:03:07Z,2750,"Wenn unsere Politiker nur zu 50% aus Frau Wagenknechts bestehen würden, hätten wir hier den Himmel auf Erden. Vielen Dank für so viel Herz und Verstand. 🙏🥰",Before Founding
37,721,hvQKE0bGq5U,@birgitwt6143,2021-11-25T19:05:36Z,2743,"Meine derzeit größte Freude ist, dass es Frau Wagenknecht gibt und, dass sie sich öffentlich traut, kompetent die aktuelle Situation fachkundig, wahrheitsgetreu, faktisch und freundlich vorzutragen! DANKE!",Before Founding
38,520,5Ms0f7XnsTc,@mr.vanity5895,2022-05-19T18:26:56Z,2721,"Liebe Frau Wagenknecht.
Sie sind der einzige Lichtblick in diesem Politikzirkus.
Sie sagen wenigstens was Sache ist ,während alle anderen alles schön reden versuchen.
Schön das es Sie gibt.",Before Founding
39,425,HEzT9HKj6D8,@rosemariemueller9485,2022-04-07T17:07:28Z,2708,"Ich habe meine Kindheit im 2. Weltkrieg verbracht und wünsche das niemand ,vor allem keinem Kind ,das sehen zu müssen ,was ich als Kind sah .",Before Founding
40,1700,nB_ueqshBRo,@gehtdichgarnixan1916,2022-02-10T17:36:58Z,2696,"Sie ist die Einzige, die immer die ""Eier"" hat, die Wahrheit öffentlich zu äußern. Danke danke danke Frau Wagenknecht. Bleiben sie genau so ehrlich wie sie sind. ;)",Before Founding
41,600,T2bivIDGCMI,@tasteinmusic3510,2021-02-04T16:32:11Z,2641,"Allein schon das Wort ""Privilegien"" ist eine Frechheit!",Before Founding
42,26,CAC9F3_pjjE,@menschsein.,2021-12-02T20:33:35Z,2631,Ihre Berichterstattung ist so wunderbar reflektiert. Sie sind eine Bereicherung in dieser Zeit. Wirklich sehr wertvolle Arbeit. Von Herzen Danke dafür.,Before Founding
43,266,jyltDCy3Kvo,@davidk.1378,2022-09-08T18:32:02Z,2612,"Sie sind der Hammer. Sachlich, analytisch und dennoch nie unter die Gürtellinie.",Before Founding
44,1521,ZdtBVODJqBU,@samira4928,2021-12-09T19:57:18Z,2603,Die einzige Politikerin mit klarem Menschenverstand. Wäre eine super Kanzlerin,Before Founding
45,202,CbAfH65jGI4,@bent.3336,2022-10-13T18:38:26Z,2544,"Rational denkende Menschen sind heutzutage eine Rarität. Umso wichtiger ist es, Ihnen für Ihren unermüdlichen Einsatz für die Wahrheit zu danken.",Before Founding
46,362,K0YqvoU08Sw,@ratko69,2023-09-21T19:36:02Z,2540,Wieso verklagt niemand die Bundesregierung wegen Hoch- und Landesverrat?,Before Founding
47,45,bQNsHivR9AU,@mark.m4954,2022-10-20T18:55:17Z,2531,",,Wer die Grünen wählt, der wird sich später einmal bitterste Vorwürfe machen.""
- Helmut Schmidt",Before Founding
48,1000,xw3qY4kS4HQ,@SahraWagenknechtBSW,2021-09-02T14:10:19Z,2503,"Da unter meinem letzten Video einige Fragen zu meinem Abstimmungsverhalten im Bundestag gestellt wurden: Die @linksfraktion hat seit Beginn der Corona-Krise das Vorgehen der Bundesregierung kritisiert. Es ist inakzeptabel, dass die Regierung seit über einem Jahr für gravierende Einschränkungen der Grundrechte eine Pauschalvollmacht erhält. Wir haben der Verhängung der epidemischen Notlage in der von der Bundesregierung vorgesehenen Weise daher nie zugestimmt und auch am vergangenen Dienstag die Verlängerung der epidemischen Notlage geschlossen abgelehnt. Dies hätte selbstverständlich auch ich gemacht - ich habe meine Kritik an der Corona-Politik der Bundesregierung immer deutlich öffentlich vertreten.

Dass ich persönlich nicht an der Bundestagsabstimmung zu diesem Tagesordnungspunkt teilnehmen konnte, lag daran, dass ich für genau diesen Tag bereits seit langem eine öffentliche Veranstaltung in Weimar zugesagt hatte und die Abstimmung erst kurzfristig für den frühen Abend aufgesetzt wurde. Selbstverständlich hätte ich sehr gern meine Ablehnung der Corona-Politik der Bundesregierung auch mit meiner Stimmabgabe ausgedrückt. Als die Veranstaltung in Weimar geplant wurde, konnte niemand ahnen, dass an diesem Tag der Bundestag überhaupt zusammentreten würde, geschweige denn, dass man mitten in der eigentlich sitzungsfreien Zeit eine solch wichtige Abstimmung aufsetzen würde. Ich musste also abwägen, in Weimar über 700 Menschen zu enttäuschen, die meine Rede hören wollten, oder mein Nein gegen ein Gesetz abzugeben, das wegen der Mehrheitsverhältnisse im Bundestag und des nach wie vor bestehenden Rückhalts der Regierungsfraktionen für die Corona-Politik der Bundesregierung auch trotz meiner Gegenstimme beschlossen worden wäre.",Before Founding
49,206,CbAfH65jGI4,@katrinthiele6133,2022-10-13T18:39:48Z,2448,"Ich habe das Gefühl, dass einige Menschen nicht mehr wissen was sie tun. Wann kommen sie endlich zur Vernunft? Frau Wagenknecht, Sie bringen es jedesmal auf den Punkt. Danke ❤️",Before Founding
50,946,7UJKIi_qYJ4,@mr.vanity5895,2022-06-30T18:05:05Z,2415,"Liebe Frau Wagenknecht,
machen Sie bitte immer weiter.
Menschen wie Sie sind ein Lichtblick am Ende eines langen Tunnels☀️",Before Founding
51,1006,xw3qY4kS4HQ,@wildhorses5431,2021-09-02T14:43:42Z,2394,"Ich kanns nicht oft genug sagen:""Beiträge wie diese gehören ins öffentlich rechtliche tv!",Before Founding
52,341,Lwflj8_vmgI,@Amadeus53741,2022-11-03T19:30:39Z,2376,"Guten Abend Frau Wagenknecht, danke für Ihre sehr gute Darstellung der momentanen Situation! Bleiben Sie standhaft!!",Before Founding
53,1220,x4ms74GOJq8,@gertgartenhaus8016,2023-09-07T16:53:35Z,2370,"Die guten Handelsbeziehungen , die wir zu Russland hatten , waren keine Fehler , die uns erpressbar machen, wie es jetzt immer dagestellt wird  sondern eine Win-Win- Situation mit gegenseitigen Abhängigkeiten und die beste Friedensgarantie, die wir je hatten. Wir haben unseren besten Trumpf  verspielt . Frieden und eine gute Zusammenarbeit zwischen uns und Russland macht den USA sehr viel Angst.",Before Founding
54,781,D3oUe8usIkU,@MrJohnHoppa,2022-11-10T19:42:09Z,2365,Endlich mal jemand aus der Politik der aufklärt und mit Fakten sein Volk bildet. Danke Frau Wagenknecht!,Before Founding
55,1771,dcc_KKkZpS8,@MG-ce5wr,2023-03-01T17:21:24Z,2353,Man versucht ihr ständig ins Wort zu fallen und belächelt sie. Aber sie schaffen es nicht. Die Frau hat nämlich recht,Before Founding
56,660,yVsj7e0FcgI,@PierAndre,2021-03-18T20:47:57Z,2348,"Liebe Frau Wagenknecht, Sie sind ein Lichtblick in der linken Politik ,  kompetent, scharfsinnig und auf dem Punkt gebracht. Danke!",Before Founding
57,868,U3JInRxTJek,@bxz2475,2022-09-15T19:19:06Z,2344,"Liebe Sahra, bitte machen sie immer weiter und lassen sie sich nicht aufhalten! Es tut so gut auch vernünftige Politiker zu hören, auch wenn sie in der Minderheit sind. ♥️",Before Founding
58,32,CAC9F3_pjjE,@noellsara4009,2021-12-02T19:55:29Z,2322,"Meine Superheldin!!!
Danke, Danke, Danke für ihr Engagement, Sie stärken damit viele Menschen!",Before Founding
59,908,avtmxgsVux8,@Traumwelt199,2022-05-12T14:19:59Z,2316,"Danke, dass Sie sich für Deutschland und die Menschen darin einsetzen.",Before Founding
60,1321,0xq5B7Gn2Mk,@LisaStfs,2021-04-22T12:07:52Z,2314,"Frau Wagenknecht wäre meiner Meinung nach die weitaus bessere Wahl für eine Kanzlerkandidatin, wenn man sich ihre Aussagen anhört und mit denen der anderen vergleicht. Danke für Ihre Worte 🙏",Before Founding
61,1528,ZdtBVODJqBU,@gatecrasher22,2021-12-09T19:45:11Z,2312,"Danke für ihre klare Sicht der Dinge, während der gesunde Menschenverstand in politischen Ämtern zunehmend verschwindet.",Before Founding
62,541,58qxTjXnPPE,@ja5866,2022-05-05T16:48:31Z,2312,"Danke Sahra! Weitermachen und die Stimme für eine soziale, gerechte Zukunft erheben!",Before Founding
63,708,DY3vQJ36Xkw,@Lichtkristall,2022-09-22T17:52:50Z,2309,"Frau Wagenknecht, ich danke ihnen so sehr . Sie geben deutschen Bürgern eine Stimme.",Before Founding
64,429,HEzT9HKj6D8,@meinungsagen8800,2022-04-07T17:54:46Z,2302,"Sie sprechen zu 100 % das aus, was ich denke und fühle, liebe Frau Wagenknecht. Ich bin froh darüber, dass es Menschen wie Sie gibt, mit klarem Verstand und dem Mut, sich zu äußern! Herzlichen Dank 👏👏🙏",Before Founding
65,1529,ZdtBVODJqBU,@brew096,2021-12-09T20:02:22Z,2300,"Liebe Frau Wagenknecht,

Bitte gründen Sie eine eigene Partei. Ich verfolge sie seit längerem und muss echt sagen das sie die Stimme meines ganzen sozialen Umfelds sind. Ihre Recherchen und auch Ihre Meinung sind schlüssig und sie sprechen das an was viele fühlen. Sie nutzen ihre Reichweite um auf das wichtige aufmerksam zu machen. Ich bin wirklich froh das es noch solche Politiker wie sie gibt. Vielen Dank und großes Lob an sie und ihr Team.",Before Founding
66,1686,Bz-XL4YLGeA,@Heimwerkerbienchen,2022-06-02T17:28:37Z,2283,Ich fühle mich schon seit mindestens 2 Jahren wie im falschen Film und es wird immer bekloppter.,Before Founding
67,681,dodIQkDgtDA,@pippipankau,2022-07-07T16:26:35Z,2250,"Einfach schön, dass es noch leute mit hirn gibt. Leider nicht in der regierung.",Before Founding
68,1041,dOCB87649D0,@EwigesLicht,2022-01-13T18:34:37Z,2245,"Ich bitte Sie eindringlich, lassen Sie diese Zeit umgehen und kandidieren Sie BITTE für einen Posten der Ihnen zusteht. Ich schätze Sie zu tiefst. Eine Kanzlerin wie Sie es wären,  wäre einer Demokratie gerecht.",Before Founding
69,548,58qxTjXnPPE,@monti9344,2022-05-05T17:06:10Z,2239,"Sahra Wagenknecht, weit und breit die einzige Politikerin mit Menschenverstand!  Chapeau !",Before Founding
70,526,5Ms0f7XnsTc,@leoniebachmann2677,2022-05-19T18:15:55Z,2230,"Vielen Dank für Ihren Einsatz, liebe Frau Wagenknecht. Sie geben so vielen Menschen Hoffnung. Ausserdem sind Sie die Stimme der Vernunft in einem Deutschland mit irren Baerböcken, wirren Hofreitern und kranken Klabauterbachern. Deutschland, Europa und die Welt braucht Sie - dringender denn je.",Before Founding
71,727,hvQKE0bGq5U,@Jaysen040,2021-11-25T18:51:07Z,2222,Eine der wenigen Politiker denen ich vertraue.,Before Founding
72,1380,Yba9vO5wZEU,@marionmeyerricks8325,2022-06-09T18:51:54Z,2196,"Liebe Frau Wagenknecht, bitte ziehen Sie sich nicht ganz aus der Politik zurück, Deutschland brauch Politiker wie Sie. Danke für Ihren Mut.",Before Founding
73,261,jyltDCy3Kvo,@mr.vanity5895,2022-09-08T18:45:25Z,2177,"Liebe Frau Wagenknecht.
Sie haben mehr “Eier in der Hose” als der gesamte Bundestag zusammen.
Sie haben die Sache wieder auf den Punkt gebracht.
An Ihre Worte werden viele noch denken.Spätestens im Winter wenn alles kollabieren wird.
Schön das es Sie gibt,Frau Wagenknecht.
Ich hoffe das die Wähler mal umdenken.
Sie sind jedenfalls eine Bereicherung.",Before Founding
74,966,Cg4JNKVJ7ik,@tinaeknarf4961,2021-12-29T12:01:16Z,2170,Ihnen und Ihrem Mann auch alles Gute für das neue Jahr und herzlichen Dank für Ihr Engagement und Ihre Geradlinigkeit.,Before Founding
75,900,avtmxgsVux8,@onlytruth4098,2022-05-12T13:56:48Z,2156,Hut ab. Endlich jemand dem das Volk am Herzen liegt. Danke Frau Wagenknecht,Before Founding
76,586,hFMMeqC8fuY,@wilhelmvonhumboldt3015,2022-03-24T19:29:47Z,2148,"""Zum Teufel mit der ganzen Politik, wenn sie das Leben der Menschen nicht leichter macht!"" -Willy Brandt",Before Founding
77,186,psN9dX1laVM,@MysterySushi,2023-09-18T15:15:15Z,2128,"5 gegen 1. Am Anfang durften alle aussprechen, sobald Frau Wagenknecht an der Reihe war, ging die Unterbrecherei los. Man kann sie nur bewundern dafür, dass sie sich das immer wieder antut und so souverän dabei bleibt.",Before Founding
78,342,Lwflj8_vmgI,@levana2443,2022-11-03T19:33:04Z,2123,"Es tut mir immer gut, Ihren intelligenten Worten zuzuhören.  Danke liebe Frau Dr. Wagenknecht.",Before Founding
79,58,bQNsHivR9AU,@DlmlZ,2022-10-20T19:18:40Z,2118,"Liebe Frau Wagenknecht, es ist eine Wohltat Ihnen zu lauschen. Es tut richtig gut, in den Zeiten von totaler Ignoranz, Intolleranz, Dummheit und Unterwürfigkeit gegenüber der korrupten Elite Ihren intelligenten Ausführungen zuzuhören. Für mich sind Sie einfach die Beste! Bitte bleiben Sie gesund und uns noch viele Jahre erhalten! Liebe Grüße DimiZ",Before Founding
80,980,SLlsrkGwPCA,@heidibogner8246,2022-02-17T18:12:25Z,2104,"Kann man mal erklären, warum ich mit 50?/60?Jahren zur vulnerablen Gruppe gehöre, aber bis 67 Jahre arbeiten muss ?
DANKESCHÖN Frau Wagenknecht für Ihre immer tollen Videos !",Before Founding
81,137,kyUaDbVjMr0,@haenselundgretel654,2021-11-19T06:49:10Z,2100,"Sie sind die aktuell wertvollste Person in unserer Politik. Leider sind Sie und Ihresgleichen nicht die Exekutive :(
Diesem Land würde es so unglaublich viel besser gehen!",Before Founding
82,1716,nB_ueqshBRo,@BBB-kl5dj,2022-02-10T17:42:44Z,2084,"Klasse, Frau Wagenknecht verdient den höchsten Respekt. Man merkt sofort wenn jemand Geschichtliches Hintergrundwissen und Bildung besitzt. Weiter so!!! 👍",Before Founding
83,1184,ZFlyZV1jK2Q,@kayf7073,2021-01-14T17:51:29Z,2074,"Es ist eine wohltat, wöchentlich diese ausnahmslos vernünftigen Argumente zu hören. Es ist leider die Ausnahme. Danke!",Before Founding
84,1261,I8MYqaGFTc8,@klemensd1925,2021-12-16T19:34:09Z,2056,"Frau Wagenknecht, Sie sind wirklich ein Hoffnungsschimmer am Horizont! Vielen Dank!",Before Founding
85,300,BcUWnPJoxI0,@a.s.8440,2023-03-16T17:16:53Z,2040,"Danke, dass Sie die Wahrheit aussprechen! Rentner bekommen gar keinen Kredit mehr! Dieser Wahnsinn würde mich um alles bringen.",Before Founding
86,606,T2bivIDGCMI,@RobinLinus,2021-02-04T18:45:29Z,2035,"Grundrechte als ""Privilegien"" zu bezeichnen ist verfassungsfeindlich.",Before Founding
87,421,HEzT9HKj6D8,@Russlandfahrer,2022-04-07T17:42:22Z,2029,"Klarer und besser kann man kaum sagen, worum es hier geht. Danke, Sahra!",Before Founding
88,465,aC_xBjrmTl4,@Marie-tj5ue,2022-09-29T18:59:22Z,2026,"Frau Wagenknecht, Sie sind ein Lichtblick. Machen Sie bitte weiter und bleiben Sie stark.",Before Founding
89,732,hvQKE0bGq5U,@l.b.4748,2021-11-25T18:39:00Z,2022,Eine Politikerin des Vertrauens.,Before Founding
90,810,SYLsSPSjTX8,@Al-2Stars,2022-03-03T20:04:51Z,2021,"Es ist einfach entsetzlich, was hier gerade passiert 😔😔😔ich finde gar keine Worte mehr für diesen Irrsinn 😔 wir sind alle nur zu Gast auf Erden, das vergessen wohl viele 😔😔😔",Before Founding
91,280,U0rBBMStw9Q,@birgitgetreidefrau4627,2023-01-19T22:03:42Z,1994,"Dass in unserem Land noch Jemand bei klarem Verstand die Wahrheit erkennen und aussprechen kann, ist unglaublich! Danke liebe Sahra. Diese Rede gehört dringend und laut in den Bundestag!!! Bitte!",Before Founding
92,525,5Ms0f7XnsTc,@barbaragentges465,2022-05-19T18:19:07Z,1946,Wie immer: Aus vielen Herzen der Menschen gesprochen und auf den Punkt gebracht.,Before Founding
93,801,SYLsSPSjTX8,@MS-vd1ou,2022-03-03T19:51:47Z,1919,"Ich kann der Deutschen Politik nicht mehr folgen 
die Politiker hier in Deutschland sind wahnsinnig
Sahra du hast so etwas von Recht",Before Founding
94,426,HEzT9HKj6D8,@leoniebachmann2677,2022-04-07T17:13:04Z,1914,"Liebe Frau Wagenknecht, vielen Dank für Ihren Einsatz für Frieden, Freiheit und Gerechtigkeit. Deutschland und Europa braucht Sie - mehr und dringender als je zuvor. Dies sage ich als (ehemalige) FDP-Anhängerin.",Before Founding
95,282,U0rBBMStw9Q,@Nighthawk6660,2023-01-19T19:42:31Z,1902,"Danke, Frau Wagenknecht für die aufklärung , ich hoffe sehr das sie es schaffen immer mehr Menschen die Augen zu öffnen!",Before Founding
96,556,58qxTjXnPPE,@odaschmidt-kohler2590,2022-05-05T18:24:15Z,1896,"Ich bin erschüttert,was gerade in Europa passiert und es macht mich fassungslos,dass so viele Menschen die Gefahr für uns alle nicht sehen können oder wollen. Danke,Sahra Wagenknecht,für Ihre wahren Worte. Bitte bleiben Sie stark für uns alle!",Before Founding
97,1804,CpAML_2ANqc,@hendrikschlegel678,2023-02-10T08:05:04Z,1894,Endlich geht mal was in Sachen Protest u. Widerstand. Wir können uns diese ganze (gr.teils  inkompetente Politik) am Rande des Wahnsinns nicht mehr bieten lassen. Gruß an Alice & Sarah👍,Before Founding
98,605,T2bivIDGCMI,@adrianc5401,2021-02-04T16:48:09Z,1883,"Bravo, machen Sie weiter so...Wie kriegen wir aber hin dass auch die deutsche Presse und TV auch kritischen Sendungen bringen...das ist nicht mehr zu ertragen was wir in den Medien lesen/sehen...",Before Founding
99,1246,Q7bEhtzMqZQ,@anitalundic8110,2021-09-16T17:55:08Z,1879,Sie sind meine Kanzlerin. Danke Frau Wagenknecht.,Before Founding
