title,views,likes,comments,upload time
"""Fridays for Future""-Proteste in mehr als 120 Ländern",94155,4049,0,2019-03-15T16:00:02Z
Fridays for Future - Dürfen Schüler streiken & dafür schwänzen? | Rechtsanwalt Christian Solmecke,72428,3607,1170,2019-02-01T14:37:06Z
Fridays for Future & Art. 13 – Wie demonstriere ich richtig? | Rechtsanwalt Christian Solmecke,53377,3351,503,2019-03-15T17:00:02Z
"Aktuelle Stunde zum Klimastreik ""Fridays for Future"" am 15.03.19",40724,449,0,2019-03-15T16:05:11Z
FRIDAYS FOR FUTURE: Nicht jeder Schulschwänzer hat den Sinn der Demo kapiert,30153,342,0,2019-03-01T12:41:00Z
FRIDAYS FOR FUTURE: Greta Thunberg spricht bei Großdemo von Schülern,23638,315,0,2019-03-29T13:32:49Z
"WELT-DOKUMENT: ""Fridays for Future""-Aktivisten Greta Thunberg spicht bei EU-Konress",22660,381,0,2019-02-21T14:02:51Z
FRIDAYS FOR FUTURE: Greta Thunberg für den Friedensnobelpreis nominiert,17117,283,0,2019-03-14T16:40:41Z
Pressekonferenz der Fridays-For-Future-Bewegung am 08.04.19,13603,372,0,2019-04-08T09:43:17Z
Fridays for Future: Streik für das Klima in Wien,11001,117,60,2019-02-01T15:18:14Z
"""Fridays for Future"": Protest von Klimaaktivisten im EU-Parlament in Straßburg",10802,387,141,2019-03-13T14:30:00Z
WELT-DOKUMENT: Fridays for Future - Schule schwänzen und Politikern einheizen,9005,272,0,2019-01-25T12:49:32Z
Versagt Fridays For Future?,8507,321,364,2019-02-17T09:30:03Z
"""Fridays for Future"": Forderungen an die Politik | DER SPIEGEL",8345,172,137,2019-04-09T10:56:30Z
FRIDAYS FOR FUTURE: Kanzlerin Merkel lobt Schülerdemos für den Klimaschutz,8176,142,0,2019-03-03T11:54:26Z
FRIDAYS FOR FUTURE: So geht Schulschwänzen in den Osterferien,7733,119,0,2019-04-12T15:46:41Z
Fridays for Future - Berlin - 15.03.19 - (Musikclip),7614,264,61,2019-03-15T15:16:05Z
So demonstrieren Schüler der Fridays-for-Future-Bewegung in NRW,7461,96,28,2019-03-15T15:42:30Z
FRIDAYS FOR FUTURE: Greta Thunberg trifft den Papst in Rom,7204,89,0,2019-04-15T14:31:01Z
Über 10.000 Menschen bei SCHÜLERSTREIK in Wien | FRIDAY FOR FUTURE | 15.03.2019,7150,145,105,2019-03-15T15:21:10Z
FRIDAYS FOR FUTURE: Schülerbewegung formuliert erste Forderungen an Politik,7099,180,0,2019-04-08T10:01:15Z
"FRIDAYS FOR FUTURE WIRKT: Konstanz ruft ""Klimanotstand"" aus",6703,177,0,2019-05-03T14:58:51Z
"Vorwürfe an ""Fridays for Future"" - und die Antworten",6170,67,27,2019-05-23T17:33:37Z
"""FRIDAYS FOR FUTURE"": Münchner Schule droht Streikenden mit Geldstrafen",5960,198,0,2019-04-03T08:52:43Z
Fridays for future : « C’est aux enfants d’éduquer les parents ! »,5939,129,10,2019-02-15T18:41:10Z
FRIDAYS FOR FUTURE - #voteclimate #globalstrike - Energy saving - KLIMAWAHL,5160,308,20,2019-05-22T04:57:45Z
Fridays for Future: 4.000 demonstrieren mit Greta Thunberg in Hamburg,4916,63,112,2019-03-01T16:33:55Z
Gedanken einer Klima-Aktivistin | Panorama 3 | NDR,4576,147,141,2019-02-13T13:30:03Z
Fridays for Future: Klima-Streiks in Kassel gegen Klimawandel,4466,127,37,2019-03-15T14:35:40Z
Zusammenschnitt vom Schülerstreik 'Fridays For Future‘ am 18.01.2019 (BR+mdr),4453,98,0,2019-01-20T05:47:58Z
AfD stellt sich gegen Fridays-for-Future-Demonstrationen - meine Gegenrede,4050,180,161,2019-02-13T14:12:06Z
Fridays for Future in Offenburg: Für welche Zukunft lernen?,3952,65,29,2019-01-18T12:08:16Z
Fridays for Future - 1300 Schüler demonstrieren in Passau,3643,69,12,2019-02-08T15:22:16Z
Leo Holldack live in Berlin - 15.03.19 - FridaysForFuture,3491,137,9,2019-03-19T22:09:45Z
"""Fridays for Future"": Klimaschutzdemonstrationen am 29.03.19",2972,56,0,2019-03-30T15:34:34Z
"Weltweiter ""Friday for Future"": Über 2000 Streiks fürs Klima",2972,56,48,2019-03-15T08:33:08Z
Fridays for Future – Wo wart Ihr gestern? Es sind Ferien und keiner geht zur Demo...,2489,108,65,2019-04-13T13:00:05Z
Friday for Future Demo,1997,41,6,2019-02-26T15:00:51Z
Fridays For Future Flensburg,1911,56,8,2019-03-16T08:50:17Z
KiNa-Reporterin Greta mit Robert Habeck über Fridays for Future,1877,40,1,2019-03-07T19:16:01Z
"""Fridays for Future"": Schüler streiken in Detmold für die Umwelt",1854,49,4,2019-02-08T16:11:20Z
Zehntausende bei Fridays for Future: Europawahl ist Klimawahl,1689,22,24,2019-05-26T22:06:26Z
"Immer mehr Eltern unterstützen Schülerdemo ""Fridays for Future"" | BR24",1579,32,39,2019-03-15T17:34:55Z
"Fridays for Future: ""Es braucht mehr als Dieselfahrverbote""",1562,26,0,2019-02-01T15:43:16Z
Fridays for Future Schweinfurt 24.05.2019,1449,0,17,2019-05-24T17:20:43Z
LIVE: 8000 Menschen Klimastreik Düsseldorf - Fridays For Future mit Greta Thunberg von Jacques Tilly,1441,84,30,2019-03-15T10:38:08Z
"""Fridays for Future""-Demo in Dresden",1185,26,0,2019-02-08T12:34:57Z
