title,views,likes,comments,upload time
Fridays for Future – Hunderte Jugendliche demonstrieren vor der Siemens-Zentrale gegen Bau einer g,166,2,3,2020-01-18T08:40:02Z
Greta Thunberg zum 18. Geburtstag - Extinction Rebellion degrowth Fridays for Future,166,7,0,2020-12-29T13:43:09Z
Fridays for Future-Demonstration in Münster,163,7,0,2020-09-04T21:33:13Z
Fridays for Future unterwegs in Krefeld,163,6,0,2020-01-10T16:32:59Z
Ganzer demozug Fridays for Future Demo Mainz 17.1.20,159,8,0,2020-01-20T17:50:28Z
Demo unterwegs in Mainz Fridays for Future Mainz 17.1.20,159,9,0,2020-01-23T15:11:13Z
„Hambi bleibt „ von Gerd Schinkel Fridays for Future Mettmann 3.1.20,157,23,0,2020-01-04T08:44:46Z
Klimastreik: Werde ich gekündigt wenn ich zur Demo gehe?,151,6,1,2020-01-18T12:00:02Z
"""Ende der Geduld"" von Gerd Schinkel Fridays for Future Mettmann 3.1.20",141,13,1,2020-01-04T08:07:06Z
Fridays For Future im Niedersächsischen Landtag,137,4,2,2020-01-23T10:18:54Z
Friday-for-Future-Aktion in Zeiten von Corona | AFP,135,0,0,2020-04-24T16:39:21Z
Fridays for Future in Potsdam [04.12.2020],134,2,3,2020-12-05T03:19:46Z
Rede bei Fridays for Future in Berlin am 13.9.2019 vor dem neuköllner Rathaus,133,0,0,2020-01-03T11:00:05Z
Greta aus Mainz Fridays for Future Demo Mainz 17.1.20,132,8,0,2020-01-19T23:04:45Z
„Wiedersehen“ von Gerd Schinkel Fridays for Future Mettmann 3.1.20,127,10,0,2020-01-04T08:49:17Z
"MdB Dr. Bettina Hoffmann (GRÜNE) bei der Kundgebung von Fridays for future Fritzlar,",127,2,0,2020-09-28T14:25:37Z
Fridays for Future übergibt Forderungen an Tübingens OB Palmer,126,2,1,2020-01-17T16:29:18Z
Fridays for Future macht Druck auf Österreichs künftige Regierung | AFP,119,3,0,2020-01-03T17:24:01Z
Protestfreitag in Hannover - Landwirte und Klimaaktivisten machen mobil,113,2,0,2020-01-21T15:45:14Z
Hinsetzen für Verkehrswende: Globaler Klimastreik in Hannover,106,2,2,2020-09-30T10:49:45Z
"Fridays for Future Stuttgart, Globaler Klimastreik 25.09.2020, Rede von Nisha und Anju",105,0,0,2020-09-26T11:23:01Z
Spot zum globalen Klimastreik am 20.09.2019 | FFF Tübingen,103,7,1,2020-05-06T17:49:07Z
Klima-Aktivist in Zeiten von Covid,102,0,0,2020-10-22T10:17:26Z
„Sie sind da“ von Gerd Schinkel Fridays for Future Mettmann 3.1.20,100,14,0,2020-01-04T08:43:57Z
FRIDAYS FOR FUTURE DEMO LEVERKUSEN (25.09.2020) - Impressionen | Jusos Leverkusen,96,4,0,2020-09-29T16:54:59Z
Fridays for Future Hitzacker 17.09.2019,96,3,0,2020-01-28T23:45:45Z
Marurice Conrad Fridays for Future Demo Mainz 17.1.20,95,6,0,2020-01-20T14:14:25Z
"Fridays for Future Stuttgart, Globaler Klimastreik 25.09.2020, Mitgefühl und Dankbarkeit",91,0,0,2020-09-26T16:18:13Z
Klimastreik: Veronika Kienzle bei Fridays for Future Stuttgart,84,2,1,2020-10-26T15:23:29Z
ALLE REDEN - FRIDAYS FOR FUTURE DEMO LEVERKUSEN (25.09.2020) | Jusos Leverkusen,83,3,0,2020-09-29T19:15:49Z
The Future of FFF!? | Fridays for Future Bodensee live,81,6,0,2020-05-15T18:48:57Z
„Fridays for Future“: Klimaproteste gehen online weiter,70,2,0,2020-04-24T13:56:15Z
"Umweltpolitik in Hamburg, 28.08.2020",66,5,1,2020-08-28T06:30:00Z
"Fridays for Future Stuttgart, Globaler Klimastreik 25.09.2020, Poetry Slam von Lotte",65,0,0,2020-09-26T13:02:51Z
Fridays for Future in Hamburg: Zehntausende demonstrieren mit Greta Thunberg,57,2,0,2020-02-22T16:45:29Z
"Fridays for Future Stuttgart, Globaler Klimastreik 25.09.2020, Rede von Lara",46,0,0,2020-09-26T11:54:44Z
friday for future,43,1,0,2020-01-31T07:27:25Z
Demonstration von Friday for Future am 25 September in Gotha,35,0,0,2020-09-28T15:29:43Z
2020-09-25 Frankfurt: Klimastreiktag - Fridays for Future - Rede auf dem Opernplatz,19,1,0,2020-09-26T10:19:23Z
Fridays for Future - Anonymous,18,0,0,2020-02-06T13:18:34Z
